Date/Time,Word Count,en,ja
2022.12.07-14.21.50,0,0,0
2022.12.07-20.24.21,18004,0,18004
2022.12.07-20.49.53,18004,281,18004
2022.12.07-21.50.36,18004,1646,18004
2022.12.07-23.33.46,18074,1646,18074
2022.12.08-11.16.51,18026,3823,18026
2022.12.08-18.10.47,0,0,0
2022.12.08-18.12.00,18018,0,18018
2022.12.08-18.20.09,18018,3823,18018
2022.12.08-18.33.06,18018,3840,18018
2022.12.08-20.52.32,18016,3818,18016
2022.12.08-22.33.42,18195,2732,18195
2022.12.09-13.03.26,18267,3822,18267
2022.12.09-13.33.52,18284,3630,18284
2022.12.09-13.41.52,18284,3929,18284
2022.12.12-12.57.39,18532,3357,18532
2022.12.12-15.13.26,18540,3975,18540
2022.12.12-21.56.01,18654,3983,18654
2022.12.13-21.38.54,18654,4000,18654
2022.12.14-20.36.18,19233,4000,19233
2023.03.15-16.42.59,19280,3910,19280
